sex,minAge,age,country,location,LHML,LHEB,LHHD,LHMLD,LHAPD,RHML,RHEB,RHHD,RHMLD,RHAPD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFAB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFAB,RFHD,RFMLD,RFAPD,LTML,LTPB,LTMLD,LTAPD,RTML,RTPB,RTMLD,RTAPD,BIB,LIBL,RIBL,LAcH,RAcH
male,30,30-40,Argentina,Argentina,299,60,44.51,19.66,21.41,298,58,44.31,20.22,19.47,237,14.13,10.45,238,14.2,10.64,372,369,77,66.24,44.7,23.73,27.79,373,372,77,67.79,44.21,23.94,27.3,331.5,,20.47,24.08,,,,,244,141,140,48.99,49
male,30,30-40,Argentina,Argentina,317,63,46.26,18.9,20.92,314,62.5,45.97,18.84,20.5,255,14.99,11.86,254.5,14.57,11.3,437,434.5,81,72.25,46.88,24.11,30.64,435.5,433,83,72.13,45.63,24.46,28.25,365,76,20.04,25.2,367,74,19.85,27.15,252,152,153,53.35,51.87
male,30,30-40,Argentina,Argentina,304,64,45.89,21.19,20.93,300.5,63,44.67,20.43,20.59,251.5,15.83,12.73,251,15.11,12.24,426,423,80,70.7,44.14,24.72,28.69,,,,,,,,363,71,21.32,23.59,360,67,20.35,22.08,241,143,141,50.93,
male,30,30-40,Argentina,Argentina,311,59,45.7,21.11,20.77,305,61,44.3,21.61,22.72,233.5,13.67,12.14,232,14.34,12.33,425,420,81.5,71.98,44.28,27.04,30.13,427,423.5,82,71.14,43.44,25.4,30.49,359,75,21.11,27.29,359.5,76,20.38,25.27,248.5,144,145,48.82,48.79
male,30,30-40,Argentina,Argentina,,,,,,334,67,50.56,25.81,24.85,,,,267,15.65,14.43,,,,,,,,479,475,90,81.76,52.27,30.37,32.66,,,,,382,84,25.27,28.61,309,,179,,59.37
female,30,30-40,Argentina,Argentina,311.5,54,43.58,19.67,20.6,309.5,55,43.02,20.12,20.72,223,14.48,10.75,232,13.26,10.3,426,417,75,58.78,39.11,22.86,28.52,428,419,72.5,57.68,39.69,22.65,27.59,358,65,18.17,22.04,357,66,18.53,22.52,252.5,142,141,44.94,46.71
female,30,30-40,Argentina,Argentina,286,52,38.99,18.72,18.32,287.5,54,39.13,18.91,18.62,222,12.61,10.26,223,13.38,10.74,408,403,69,59.12,37.37,22.86,25.92,405,397,68.5,58.57,37.29,22.23,26.3,341,64,19.09,23.47,341.5,62,18.7,22.28,249,140,139,42.94,42.83
female,40,40-50,Argentina,Argentina,306,59,44.32,19.98,19.55,315,60,44.58,20.82,20.73,240,11.26,10.89,239.5,12.9,11.37,436,432,78,65.67,,22.12,29.4,437,433,77,66.6,47.19,25.4,27.43,,,,,377,73,22.36,24.24,273.5,159,,,50.25
female,40,40-50,Argentina,Argentina,290,58,42.43,20.1,22.71,296,57.5,42.54,20.67,23.21,,,,223,14.69,11.94,405,401,74,64.17,41.81,27.09,26.32,396.5,395,72,61.82,42.69,25.26,26.28,345,67,21.74,26.03,341,67,20.94,24.95,286,155,154,47.61,48.06
female,22,22-25,Australia,Australia,287,46,34.74,13.49,16.51,289,46,33.07,14.29,17.71,227,9.47,10.16,232,10.61,10.43,437,432,61,56.16,35.71,20.59,23.41,428,425,63,55.84,35.44,21.7,24.68,362,57,20.26,25.03,366,57,22.42,26.47,240,132,134,42.44,41.3
