sex,minAge,age,country,location,LHML,LHEB,LHHD,LHMLD,LHAPD,RHML,RHEB,RHHD,RHMLD,RHAPD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFAB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFAB,RFHD,RFMLD,RFAPD,LTML,LTPB,LTMLD,LTAPD,RTML,RTPB,RTMLD,RTAPD,BIB,LIBL,RIBL,LAcH,RAcH
female,30,30-40,Congo,Democratic Republic of the Congo,269,49,36.26,14.25,18.07,275,49.5,37.09,14.56,18.36,213,11.78,9.94,216,12.82,10,355.5,353.5,66,61.11,37.93,20.86,23.8,361.5,357.5,69,62.7,36.21,20.22,24.68,311,62.5,17.21,22.32,312.5,64,17.71,22.12,232,132,133,42.51,41.67
male,40,40-50,Congo,Democratic Republic of the Congo,,,35.51,,,279.5,50,34.79,18.44,17.56,208,14.57,11.65,214.5,14.3,11.07,,,,,36.39,,,368,362.5,,,37.26,22.29,24.06,,,,,314,,18.66,25.77,217,,,41.18,42.28
female,40,40-50,Congo,Democratic Republic of the Congo,250.5,46.5,30.89,12.28,15.22,266,44,32.41,12.25,16.02,192.5,11.01,9.07,195,10.03,9.27,354,352,59.5,50.48,34.87,20.66,22.88,350,348.5,60,50.42,34,20.11,22.68,295,53,17.15,24.78,298,52,17.4,22.19,225,129,127,40.47,39.21
male,25,25-30,Ecuador,Ecuador,311,59,42.57,21.76,22.72,309.5,60,43.09,20.99,23.41,247,17.44,12.48,247.5,14.73,11.76,421,416,82,69,44.02,25.58,29.53,,,,,43.25,,,372,74,23.61,29.45,375.5,74,23.37,25.86,,,,,
male,30,30+,Ecuador,Ecuador,320,61,45.84,21.01,20.45,,,,,,248,14.52,12.27,,,,,,,,,,,440,437.5,,,43.46,29.01,29.89,,,,,384,,24.01,29.45,,,,,
male,30,30+,Ecuador,Ecuador,294,59,43.23,22.74,20.76,302.5,59,43.69,23.59,22.52,238.5,16.29,12.08,240,17.22,11.9,419,415.5,75,64.5,41.97,24.77,27,416,412.5,76,64.73,42.81,24.62,28.75,360,72,20.63,27.99,357,68,20.86,26.78,,,,46.34,47.07
male,30,30-40,Ecuador,Ecuador,287,60,45.46,21.41,17.15,,,,,,238,14.39,11.61,,,,410,406,78,66.75,43.24,27.48,25.5,407.5,404,80,68.25,44.79,26.69,25.72,345,,21.85,25.22,,,,,,,,,
female,30,30+,Ecuador,Ecuador,307.5,55,37.63,18.26,18.05,308,57,38.05,18.83,19.65,233,13.22,10.88,236,11.8,10.66,423,418,70.5,58,,27.43,24.57,421,417.5,,,38.9,24.26,25.24,350,64,21.4,25.92,353,63,23.05,25.6,256,147,,45.82,
female,30,30-40,Ecuador,Ecuador,272,53,,18.19,17.16,274,53,37.46,19.4,17.8,219,13.24,9.71,218,13.13,9.28,391.5,388,,,38.54,20.99,22.72,397,393.5,,,39.33,21.56,23.86,329,57,18.15,23.64,326,61,18.2,23.83,,,,42.95,45.1
female,30,30-40,Ecuador,Ecuador,275,47,38.24,16.93,17.1,275.5,47,37.04,17.15,17.27,200,12.3,10.22,211,11.67,9.63,378,375,,,38.07,22.07,20.2,379,377,66,56.12,37.89,24.41,21.79,322,60.5,17.9,23.09,318.5,60,19.08,21.92,242,,144,,
female,30,30-40,Ecuador,Ecuador,245,48,35.05,19.85,16.32,247,48,35.22,18.66,18.3,202,14.09,9.29,203,12.61,9.08,352.5,344,65.5,59.01,37.32,20.43,22.63,,,65.5,57.12,37,,,303,61,18.09,22.83,308,60.5,20.2,22.11,231.5,142,139,41.73,42.2
female,30,30-40,Ecuador,Ecuador,262,53,35.54,,,263,54,35.47,20.05,20.45,212.5,13.61,9.69,212.5,15,11.12,377,372,69.5,60.67,38.29,24.75,25.27,376,373,69,60.16,38.26,26.01,25.12,,,,,323,66,22.95,26.77,,,,,
male,40,40-50,Ecuador,Ecuador,293,59.5,42.67,20.48,18.88,291,60,42.81,21.48,19.35,237,13.23,11.56,233,12.62,12.18,418.5,416,75,61.66,42.97,26.88,24.39,,,75,62.36,42.77,,,343.5,66,19.05,28.88,344,67,24.07,26.27,245,,149,,47.41
male,40,40-50,Ecuador,Ecuador,318,64.5,43.31,21.36,19.02,319,65,45.77,21.62,22.13,249.5,12.52,11.05,248,13.08,11.58,430.5,427,80.5,70.85,45.33,27.29,29.34,431,425.5,82,72.53,45.12,25.81,28.98,367,74,20.08,28.56,370,77,21.13,25.11,,,,,
male,20,20-25,Egypt,Egypt,312.5,66,43.58,18.51,20.54,314.5,67.5,45.15,18.98,20.29,248,13.28,12.08,248,13.43,11.41,438,435,77.5,67.26,45.22,24.08,26.86,441,439,78,68.31,45.55,23.49,27.13,362,71,22.19,25.44,365,71,22.25,25.1,268.5,145,147,50.97,50.84
male,22,22-25,Egypt,Egypt,323,61,44.19,19.09,19.64,327,64,45.26,18.76,19.8,,,,,,,455,453,78,69.04,47.14,27.74,26.56,,,,,,,,375,73,22.86,25.22,,,,,263.5,155,153,52.52,53.77
male,22,22-25,Egypt,Egypt,357,63,43.73,18.05,17.84,,58,43.38,,,269,13.46,10.41,,,,486.5,483,79,67.52,44.91,28.09,27.36,,,,,,,,385,69,23.69,26.42,387,71,23.02,30.61,286,,,51.3,50.43
female,22,22-25,Egypt,Egypt,301,62,42.95,17.11,19.66,289,63.5,41.46,16.78,20.09,,,,235,13.64,9.11,427.5,425,74,68.48,42.96,24.04,26.41,431,429,77,68.17,42.71,21.98,26.24,357,73,22.13,24.39,353,73,21.75,22.43,,,,,
male,25,25-30,Egypt,Egypt,297,58.5,38.78,19.32,20.69,301.5,60,39.16,20.2,20.44,240,13.81,11.99,243,13.28,11.92,424,421,75,64.23,40.31,24.94,26.31,420.5,418,75.5,65.16,42.36,25.7,26.87,352,66.5,23.04,24.58,352,68,22.21,23.11,249,149,146,43.96,46.06
male,25,25-30,Egypt,Egypt,303.5,60,45.09,18.28,17.55,307.5,60,44.89,17.58,18.81,,,,231,13.7,11.29,425,424,80,69.4,44.9,26.47,22.76,426,424,82,72.89,44.73,25.73,22.7,353,71,22.11,23.8,358,71.5,22.78,23.51,254.5,140,141,49.45,49.02
male,25,25-30,Egypt,Egypt,302,67,46.36,20.36,19.54,308,66.5,47.24,20.97,20.1,239,12.97,11.19,248.5,13.45,12.48,438,435,82,70.26,47.39,24.67,25.48,438,433.5,82,70.48,47.21,24.96,26.65,352.5,71,20.34,25.8,353,71.5,21.89,26.03,268,162,161,52.82,52.47
male,25,25-30,Egypt,Egypt,308,60,42.42,21.4,18.75,309,59,42.96,22.17,18.28,243,13.34,11.34,243,13.86,11.5,430,422,79,68.69,45.68,22.51,26.62,432.5,427,81,70.16,45.6,23.32,27.25,356,72.5,21.67,24.03,354,73,21.67,23.66,253,148,149,52.23,50.97
male,25,25-30,Egypt,Egypt,320,59,45.36,18.83,19.2,,,,,,246,13.69,11.36,,,,433.5,431,76,71.34,42.52,28.68,26.64,,,,,,,,384,74,19.99,28.33,,,,,262,146,,48.62,
male,25,25-30,Egypt,Egypt,359,63,45.5,20.91,22.31,366,65,46.98,23.03,22.43,278,15.1,13.06,279,16.27,13.13,499,495,78,68.35,47.57,26.51,34.44,,,,,,,,423,73,23.55,30.91,,,,,245,,,,
male,25,25-30,Egypt,Egypt,,,,,,314,62,46.46,23.09,21.86,,,,241,17.38,11.38,,,,,,,,435,433,78,69.14,46.22,25.97,29.97,,,,,360,72,23.49,26.95,242,,138,49.56,51.29
male,25,25-30,Egypt,Egypt,,,,,,312,59.5,42.83,18.34,19.43,253,12.44,10.49,256,11.49,11.45,470.5,469.5,77,69.07,43.27,25.23,27.28,472,471,76,69.54,43.68,24.59,26.79,395.5,72,21.83,29.4,399,71,20.34,28.37,272,156,160,48.66,48.34
male,25,25-30,Egypt,Egypt,340,70.5,,21.68,23.42,343,71,46.75,22.42,23.94,268,16.48,14.1,268,18.12,13.94,470.5,468,78,67.4,47.13,27.29,30.37,472,468,80,69.77,47.18,26.33,31.42,393.5,69,21.47,29.38,391,72.5,22.92,28.64,270,164,159,,52.18
male,25,25-30,Egypt,Egypt,288,57,43.72,20.74,19.59,293,56,43.6,21.58,20.19,248,13.76,12.13,245,14.87,11.97,436.5,434,73,65.91,43.93,28.46,27.62,435,431,74,63.6,42.91,26.81,26.17,363,67.5,22.14,25.61,362,67.5,21.69,25.59,256,146,146,50.9,50.09
male,25,25-30,Egypt,Egypt,307,60,42.74,18.74,19.82,313,60,44.27,18.52,19.77,237,12.61,11.05,239,13.83,11.09,443,441,77.5,66.81,44.84,25.87,28.34,441.5,437,76,63.07,44.7,26.28,26.24,365,71,20.22,26.27,366,66,20.72,26.17,,150,,49.08,
male,25,25-30,Egypt,Egypt,290.5,58,40.03,19.49,19.42,292.5,58,39.79,19.08,19.38,227,14.32,11.62,236,14.56,11.09,410,409,72,61.05,41.64,23.92,24.51,412,411,75,62.83,41.38,24.38,24.94,349,63,20.74,23.32,356,65,20.06,23.76,253,142,,45.97,
male,25,25-30,Egypt,Egypt,348,59,43.15,15.57,18.77,354.5,60,45.22,15.69,17.82,262,11.95,10.86,266,14.85,10.6,495,488.5,75,66.73,45.03,22.64,29.64,494.5,489,76,68.57,43.99,23.39,28.09,395,68,20.67,24.6,396,69,20.45,25.33,253,157,158,50.77,49.35
male,25,25-30,Egypt,Egypt,323,58,44,19.36,18.48,323,58,44.88,20.39,18.9,,,,,,,473,467,77.5,67.51,44.5,25.61,30.25,473,468,77,66.25,44.27,26.15,29.87,384,70,21.12,26.42,384.5,66,21.71,26.87,254,155,158,49.47,49.86
male,25,25-30,Egypt,Egypt,,,,,,313,56,45.47,18.79,18.84,239,14.71,11.04,244,15.5,11.65,449,447,80,65.62,43.88,25.96,26.04,451,445,81,67.2,43.95,25.8,25.99,373,71,20.26,25.43,372,67,20.23,26.64,253,147,147,49.42,50.26
female,25,25-30,Egypt,Egypt,271,49,37.14,13.97,16.02,279,50,36.64,14.49,15.64,,,,215,10.6,8.87,381,379.5,66,56.75,37.17,21.03,20.1,380.5,377,67,57.38,38.55,21.07,20.06,,,,,,,,,224,130,132,42.21,43.41
female,25,25-30,Egypt,Egypt,242,49,35.85,13.63,14.77,247,49.5,34.87,13.01,15.93,193,11.19,8.1,,,,361,359,66,55.6,37.24,20.97,19.25,362,361,67,57,36.53,20.29,20.22,300,58,16.05,19.63,398,60,17.31,19.68,249,,,43.08,43.57
female,25,25-30,Egypt,Egypt,299,60.5,45.78,17.45,19.8,301,66,46.14,18.12,19.07,239,13.48,10.37,235,13.67,10.75,440,437,79,69.94,45.09,26.34,29.69,443,438,80,70.3,44.95,24.71,31.02,365,68,23.53,27.13,360,70,24.35,27.64,228,146,146,49.86,49.91
female,25,25-30,Egypt,Egypt,281,53,38.8,17.65,20.86,294.5,55,40.75,17.58,21.39,,,,216,13.95,10.66,388,382,74.5,62.71,41.73,21.86,21.65,391,386,73,62.53,41.54,21.38,21.84,330,66,18.05,19.71,329,65,18.27,19,270,151,150,,
male,30,30-40,Egypt,Egypt,,,,,,326,69.5,45.36,19.35,22.89,255,13.99,11.91,255.5,13.95,11.86,449,444,81,70.91,46.32,27.07,30.49,451,447,81.5,70.45,46.6,27.27,31.32,384,74,20.79,24.52,382,74,20.77,24.26,265,153,152,51.8,52.36
male,30,30-40,Egypt,Egypt,293,64,42.53,19.81,21.19,310,64,42.65,19.86,21.66,239.5,16.33,11.25,244,16.47,11.32,418,414,78,66.48,41.93,24.18,26.98,420.5,418,77,67.14,41.55,24.93,26.7,355,70,21.9,26.1,356,67,22.62,24.3,240.5,151,150,48.02,47.03
male,30,30-40,Egypt,Egypt,294,60,42.23,17.8,18.6,298,61,41.97,18.81,18.91,,,,233,14.57,11.27,428,425,78,67.5,44.06,27.42,24.02,427,425,77.5,67.27,43.08,25.81,25.16,355.5,68.5,21.97,24.67,357,68.5,22.01,25.24,263,151,151,48.64,48.25
male,30,30-40,Egypt,Egypt,312,59,42.42,18.78,19.16,315.5,60,44.55,20.02,21.1,239.5,13.75,11.18,242,14.12,11.53,428,425,76,65.48,43.97,25.02,27.54,430,426,76,65.26,44.86,25.88,27.41,358,71,22.27,24.7,359,69,23.87,23.74,269,152,149,48.13,49.86
male,30,30-40,Egypt,Egypt,304,61,42.72,20.8,18.46,300,63,42.72,20.91,19.03,,,,,,,440,437,79,68.64,44.02,25.2,28.83,454,449,78,67.18,49.45,23.5,29.71,370,70,23.25,24.89,380,70,21.85,24.07,242.5,140,143,50.66,55.41
male,30,30-40,Egypt,Egypt,301,60,42.89,18.63,20.33,310,61,41.76,18.6,21.58,,,,,,,428,420,80.5,69.9,46.1,24.75,28,428,419.5,79,68.51,46.49,23.91,27.09,358,70,20.86,26.25,358,70,21.25,25.19,250,146,147,52.1,52.82
male,30,30-40,Egypt,Egypt,325,64,48.44,19.28,22.53,331,67,49.77,20.61,22.82,246,14.74,11.63,251,15.07,12.21,453,451.5,86,78.75,49.37,28.74,29.7,460,455.5,87,77.99,50.34,27.45,28.84,379,75,23.94,25.26,380,76,24.52,28.3,253,,,54.8,56.19
male,30,30-40,Egypt,Egypt,311,58,41.01,18.49,19.32,310.5,59,42.8,18.76,20.2,232,13.3,10.8,,,,445,444,,66.07,42,24.41,31.68,452,451,75,64.77,39.91,24.96,33.17,375.5,,23.52,27.78,,,,,234,,140,,45.45
male,30,30-40,Egypt,Egypt,345,67,50.42,19.66,21.02,351.5,66,50.37,20.41,21.3,272,12.73,10.95,274.5,13.38,10.81,,,,,,,,,,,,,,,410,77,23.67,26.98,410,78,25.05,25.83,278,162,161,54.94,55.02
male,30,30-40,Egypt,Egypt,321.5,66,47.71,23.04,21.73,323,67,49.45,22.91,22.22,253,15.52,12.79,253,16.27,12.39,462,456.5,81,69.45,47.45,26.08,27.82,457.5,454.5,81,71.09,47.51,26.73,28.82,387,74,21.81,27.6,,,,,280.5,165,163,51.48,51.56
male,30,30-40,Egypt,Egypt,321,61,47.35,20.83,20.56,326,60,44.17,21.13,21.18,,,,260.5,16.41,12.04,472,465,80,68.64,46.72,26.15,26.19,470,463,82.5,70.31,46.08,25.81,27.74,,,,,412,74.5,23.59,29.63,262.5,153,157,51.29,51.54
male,30,30-40,Egypt,Egypt,307,61,45.65,18,19.85,306,61,46.75,18.67,20.38,236,13.44,11.33,238,15.16,11.72,445,442,82,71.74,46.46,24.56,30.14,440,435.5,81,70,46.48,25.22,28.12,367,74,21.89,28,366,71,22.18,26.93,280,160,159,51.23,51.1
male,30,30-40,Egypt,Egypt,320.5,59,44.84,18.61,19.86,325,60,46,19.74,20.85,251,14.47,11.46,254,15.6,12.23,457,452.5,75,60.98,45.39,27.29,31.79,457,453.5,78,62.17,45.9,25.92,32.34,388.5,70,21.1,25.09,391,69,20.84,25.4,273,159,158,51.9,51.75
male,30,30-40,Egypt,Egypt,,,,,,330,63,46.05,22.69,21.81,,,,240,16.4,12.95,468,462,79.5,67.15,45.63,27.27,30.08,462,457,78,64.5,46.11,27.43,28.85,394,65,25.66,27.96,388,65,25.39,28.14,263,158,161,50.99,51.98
male,30,30-40,Egypt,Egypt,340,63,45.08,19.18,21.99,341,63,45.74,19.93,21.99,270,12.2,11.97,,,,487,484.5,77,68.86,45.69,25.62,31.23,487.5,484,79,68.79,45.37,25.78,31.2,,,,,415,71,23.43,27.06,274,165,169,51.31,51.17
male,30,30-40,Egypt,Egypt,317.5,57,46.02,18.26,18.28,321,58,46.28,18.64,17.94,233,12.76,11.34,246,13.9,10.87,427,424,79,64.78,45.7,25.38,23.87,433.5,428,79.5,69.8,45.31,24.45,24.84,369.5,71,22.13,24.01,373,73,21.92,24.64,268.5,148,152,49.86,51.6
male,30,30-40,Egypt,Egypt,327,60,42.19,22.5,22.5,329,61,41.99,23.02,22.81,263,15.82,14.1,267,16.62,12.97,473,466,79,68.62,42.25,27.02,30.28,474.5,468.5,79,70.26,42.22,26.05,30.97,410,74,23.13,25.97,407,70,24.66,25.77,257.5,163,162,46.54,48.44
male,30,30-40,Egypt,Egypt,350,61,41.44,19.22,21.36,350.5,61,42.44,20.91,22.24,281,14.17,12.19,285,14.66,11.88,500,497.5,80,65.79,44.98,27.09,29.42,496,494.5,78,65.82,45.86,27.64,25.79,442.5,74,23.71,29.33,439,72,23.82,27.5,278,154,155,50.28,51.28
male,30,30-40,Egypt,Egypt,320,58,42.93,17.96,18.65,,,,,,249,13.8,11.22,,,,429,427,78,67.8,43.14,23.75,23.54,429.5,425,77,69.35,43.71,23.26,27.6,373,67,19.86,25.95,371,66,22.48,24.91,256,148,145,49.77,51.42
male,30,30-40,Egypt,Egypt,311,61,42.07,20.44,22.38,319,61,43.71,22.48,22.67,244,15.81,12.84,245,15.92,12.56,425,422,80,67.79,45.02,30.96,27.2,430,426.5,80,68,44.84,30.17,28.22,349,71.5,24.9,26.3,353,70,23.92,26.26,235,148,147,50.54,50.19
female,30,30-40,Egypt,Egypt,,,,,,290,54,38.63,16.21,19.52,216,12.84,10.12,217.5,12.58,9.86,391,388,71.5,60.23,40.34,22.62,25.12,397.5,395,71,60.52,39.3,23.16,26.09,332,64,20.72,22.87,330.5,62,21.49,21.62,232,144,145,46.51,46.19
female,30,30-40,Egypt,Egypt,274,50,37.29,14.1,15.51,,,,,,194.5,12.55,9,,,,376,369.5,68,57.02,38.59,22.01,20.67,374,369,71.5,60.55,38.03,20.82,21.69,,,,,306,,19.23,18.95,234.5,135,137,43.59,42.42
female,30,30-40,Egypt,Egypt,275,51.5,35.15,13.76,16.1,279.5,53,35.87,14.2,15.91,211.5,10.63,8.22,215,10.71,8.55,395,392,66,56.6,35.38,21.97,20.04,389,387,66,55.42,35.51,22.18,20.21,332,60,17.39,22.18,331.5,59,18.62,21.59,230.5,128,129,40.23,41.3
female,30,30-40,Egypt,Egypt,288,52,37.68,14.48,17.08,296,53.5,40.46,15.15,17.67,219,12.91,8.75,223,12.25,9.28,425.5,421.5,70.5,60.1,40.24,22.73,22.19,430.5,424.5,72,61.16,40.92,22.67,21.21,352.5,64,18.11,19.32,357,63,18.83,18.85,271,,136,45.26,45.38
female,30,30-40,Egypt,Egypt,292.5,55,40.73,16.46,18.09,304,57,41.83,15.77,18.73,,,,225,12.77,10.01,429,428,74,63.9,40.69,24.82,25.95,427,423,72,61.88,40.78,,,354,65,22.57,25.61,352,66,21.41,22.31,233.5,146,148,46.99,47.05
female,30,30-40,Egypt,Egypt,264,48,37.1,16.51,18.31,268,50.5,35.8,15.65,17.84,205.5,11.27,9.09,206,12.16,9.05,378,377,65,57.09,35.79,22.23,22.58,375,373,64,55.5,36.05,22.49,22.11,319,59,18.19,21.73,318,58,18.51,20.12,242,135,134,40.65,41.5
female,30,30-40,Egypt,Egypt,273,51,37,17.07,16.45,279,52,37.67,16.4,16.68,212,10.53,8.83,215.5,11.13,9.45,410,407,70,60.21,38.94,21.41,21.92,403,400,69,59.1,38.92,22.21,21.75,340,66,19.12,20.68,336,62.5,20.02,20.41,232,139,137,45.5,46.13
female,30,30-40,Egypt,Egypt,295,53,38.85,15.65,16.39,295,55,38.52,15.59,17.52,221,12.33,8.54,224.5,12.67,9.28,435,429,75,64.59,40.7,23.56,22.61,430,427,74.5,64.23,39.94,22.75,22.78,358,66.5,19.22,20.56,359,65,20.26,20.42,257,145,142,46.34,45.95
female,30,30-40,Egypt,Egypt,,,,,,,,,,,213,14.11,10.14,,,,400,397,73,62.85,39.46,23.67,23.82,404,398,73,62.89,40.24,22.93,23.62,347,64,19.84,23.94,344,65,19.96,23,250,,145,,45.35
female,30,30-35,Egypt,Egypt,,,,,,321,55,39.05,16.64,18.01,,,,238,13.47,9.35,,,,,,,,431,424,74,69.76,38.91,23.94,24.49,,,,,359,70,20.57,26.05,236,147,145,45.01,44.78
female,30,30-40,Egypt,Egypt,276,49,37.61,15.53,15.09,278,50,36.01,15.4,14.3,,,,214,11.12,10.2,415,409.5,67,56.28,37.85,21.26,21.6,411,404.5,67,55.41,37.47,22.9,21.21,334,61.5,16.73,20.09,,,,,231,151,151,43.47,44.1
female,30,30-40,Egypt,Egypt,309,51.5,38.24,18.06,16.5,,,,,,240,12.2,9.79,239.5,12.76,10.13,435,432,72,58.76,41.34,25.04,27.66,432,429,71,56.89,41.66,24.3,28.89,366.5,65,20.47,24.53,360,63.5,20.03,27.27,234,132,132,46.57,45.6
male,40,40-50,Egypt,Egypt,329,58.5,45.3,18.47,20.47,,,,,,250.5,13.59,11.05,254.5,14.13,11.32,444,441,79,68.7,42.88,23.93,28.5,444,442,81.5,70.85,42.58,22.91,29.85,391,71,21.37,25.24,390,74,20.59,25.14,273,160,158,48.75,47.8
male,40,40-50,Egypt,Egypt,308.5,63,46.36,20.27,22.34,310.5,64.5,45.35,20.16,22.38,242,16.44,12.39,242,15.79,12.09,437,433,83,72.13,46.85,26.88,30.01,440.5,439,86,74.9,48.07,27.45,27.92,360,76.5,23.54,28.58,362,77.5,24.01,28.18,269,149,158,51.4,51.75
male,40,40-50,Egypt,Egypt,298,54,40.56,16.03,18.29,303,55.5,41.94,16.42,18.97,227,12.91,9.37,231,12.86,9.41,427.5,425,71.5,60.74,38.84,21.83,22.84,423,421,72,61.44,39.47,21.56,23.7,365,62,19.4,21.82,368,63,19.44,21.7,263,145,145,44.86,46.64
male,40,40-50,Egypt,Egypt,293,58,42.92,19.82,19.69,297,58.5,42.39,19.13,19.25,226,13.49,11.22,231.5,13.83,11.5,415,412,75.5,63.94,43.65,23.17,26.32,417,413,76,65.87,44.67,22.78,26.98,341,69,20.48,24.98,344,67,20.52,23.27,231,137,,49.64,50.54
male,40,40-50,Egypt,Egypt,279,59,40.23,16.69,18.59,280.5,60.5,40.34,17.11,18.26,214,14.81,10.32,215,14.59,10.47,404,403,77,67.16,41.34,27.34,25.57,403,402,77,66.37,41.05,29.68,23.81,341,69,21.18,25.43,342,71,20.17,26.38,253,140,142,48.52,47.96
male,40,40-50,Egypt,Egypt,325.5,64,44.01,20.26,20.36,325,64,44.27,20.26,20.79,258,14.5,11.76,260,13.57,11.98,454,451,77,66.31,42.03,26.88,28.62,452.5,449.5,79,67.17,41.96,27.19,28.34,396,72,23.72,27.04,394,72,24.2,26.22,266.5,157,156,48.14,47.78
male,40,40-50,Egypt,Egypt,,,,,,,66,,,,247,16.58,12.63,248,16.92,12.48,469,464,79.5,68.61,42.54,26.74,28.87,467,462,79.5,68.65,42.72,26.04,30.52,,,,,388,71.5,25.09,30.06,262,161,165,48.54,49.56
male,40,40-50,Egypt,Egypt,267,56,39.55,18.27,17.16,275,58,40.23,17.97,18.23,207,12.04,10.19,209.5,12.79,10.44,373,372,73,63.01,38.98,24.33,22.55,370.5,369.5,73.5,63.24,39.62,23.92,23.83,311,65.5,18.92,23.26,312,64,19.74,21.43,235,135,134,,45.78
male,40,40-50,Egypt,Egypt,289.5,57.5,40.14,19.8,21,295,59.5,41.72,20.56,21.28,232,14.69,12.01,231,15.49,12.07,418,414.5,74.5,65.24,39.08,25.63,27.56,420,414,74,65.2,40.15,25.61,28.27,348,69,21.81,25.51,349,69,23.82,24.47,232,141,143,45.35,46.02
male,40,40-50,Egypt,Egypt,332,65,45.97,19.75,21.21,334,64,46.03,20.82,19.85,257,13.46,12.58,261.5,13.57,11.55,473,470,82,70.38,48.64,27.42,29.61,478,470.5,83,70.96,49.1,26.5,27.99,395,74,21.9,26.26,395,74,21.81,25.98,275.5,147,147,51.29,54.32
male,40,40-50,Egypt,Egypt,314,61.5,44.2,17.97,19.64,316,62.5,43.78,18.74,19.09,243,14.02,12.12,247,14.27,11.02,453,450,82.5,67.4,45.06,25.52,25.6,448,447,78,66.82,45.28,24.74,24.9,380,73,21.65,24.64,377,67,20.68,25.51,257,152,153,50.49,51.17
male,40,40-50,Egypt,Egypt,323,60.5,45.63,18.03,16.72,323,61,44.13,19.28,16.5,256,13.5,10.44,254,14.34,10.75,478.5,473,80,65.22,45.93,24.5,26.19,481,477,81,63.83,45.37,24.55,26.2,398,73,22.79,23.71,397,73,22.35,24.68,277,155,154,51.26,51.21
male,40,40-50,Egypt,Egypt,313.5,56,41.32,18.15,20.38,323.5,55.5,42.14,18.9,19.71,239,13.94,12.34,242,15.59,11.69,447,445,75.5,65.3,42.89,25.68,30.27,438,437,77,67.47,43.15,24.51,31.63,373,65,25.27,25.57,372,69,25.34,26.77,267.5,149,149,48.08,48.75
female,40,40-50,Egypt,Egypt,251,53,35.14,14.96,18.22,261,55,36.52,15.7,18.3,,,,206,11.9,9.28,370,368,68.5,58.7,37.42,22.48,22.2,374.5,373,70,60.42,38.57,23.03,21.82,304,66.5,17.63,20.37,298,66,17.64,19.97,248.5,136,135,43.95,42.67
female,40,40-50,Egypt,Egypt,,,,,,290,48,36.8,14.78,17.91,,,,231,10.56,8.95,427,421,,,37.74,21.62,22.1,418,415,68,58.95,37.46,22.47,24.21,346,,18.22,20.04,344,60,18.94,21.84,235,136,134,44.01,44.31
female,40,40-50,Egypt,Egypt,313,54,39.25,16.33,18.16,318,55,39.42,16.55,19.49,239,11.14,10.43,243,11.89,10.68,432,431,75,65.05,40.35,26.29,24.31,437,436,75.5,64.38,40.97,26.04,25.18,373,67,22.58,25.43,373,67,23.81,23.45,278,154,152,47.85,48.02
female,40,40-50,Egypt,Egypt,315,52,39.82,14.77,16.32,,,,,,249,10.82,9.18,,,,453,451,71,60.18,41.33,22.23,23.87,446,444,74,63.24,40.11,22.98,22.6,,,,,379,63.5,20.79,23.09,247,143,,,46.12
female,40,40-50,Egypt,Egypt,322.5,56,40.97,15.81,18.03,334,57.5,42.2,17.32,17.8,231.5,12.68,10.26,235,12.21,10.7,451,449,,,42.21,24.79,24.81,444,443,75,64.42,42.39,22.9,24.61,349,67,20.13,22.17,,,,,270,,,,49.09
female,40,40-50,Egypt,Egypt,,,,,,286,53,40.53,16.01,16.35,,,,211,11.37,8.12,405,402,70,57.96,40.61,20.56,23.21,406,404,73,61.97,41.13,21.34,22.09,334,64,16.82,22,333,64.5,18.37,20.92,252,149,144,,46.05
female,40,40-50,Egypt,Egypt,277,53,39.32,14.94,17.75,286,57,39.1,15.09,18.19,213.5,11.32,9.44,219,12.7,9.33,412,411,75,65.79,42.1,26,23.79,413.5,411,74,63.82,42.2,24.38,23.02,341,67,19.05,20.77,338,65,20.5,21.33,276,159,162,47.38,45.17
female,40,40-50,Egypt,Egypt,270.5,50,36.34,15.56,18.27,278,53,36.69,15.59,18.84,213,12.12,9.35,219,13.38,9.74,398,395,72,62.63,38.85,23.31,25.13,396,395,71.5,61.43,38.84,23.81,25.1,337,64,19.88,23.04,336,64,18.94,20.41,253,153,155,44.31,45.46
female,40,40-50,Egypt,Egypt,291.5,58,39.82,17.32,19.06,295,59.5,39.92,17,18.53,,,,233,11.81,10.35,431,426,73,56.88,38.74,22.54,24.31,429,423,73,60.76,38.75,21.7,24.95,368,68,18.62,19.97,368,65,18.51,23.01,257,,158,44.47,43.84
female,40,40-50,Egypt,Egypt,309.5,55,38.45,18.28,18.81,313,55,38.16,16.57,18.94,225,12.62,9.95,228,14.39,9.85,431,427,73,60.1,40.42,24.96,27.13,425.5,422,72,58.15,41.32,20.78,26.15,354,65,20.42,23.08,354,62,21.54,23,243,140,143,45.51,46.73
female,50,50+,Egypt,Egypt,262.5,49,34.08,13.65,13.67,268,52,34.14,13.87,13.84,194.5,10.24,7.51,198.5,9.94,7.98,375,372,65,55.71,34.82,20.8,20.24,377,373.5,65,55.45,34.86,20.12,19.52,307,58,17.32,20.19,307,59,17.62,19.83,227.5,136,135,39.13,39.34
